"male_heights","female_heights"
140.339274431012,134.31748433615
150.640955184611,136.957802515586
154.407660037618,150.678719092236
144.032406677985,150.813348877088
148.457531278037,152.251401929135
160.842474299012,160.827505606094
150.283233908908,139.602139218348
135.499530791641,144.515698787895
153.30735547279,135.768146909437
145.395743176464,148.709860416835
179.503609147645,169.311448374146
155.91911743808,151.284980379016
145.305658426681,144.31091221782
140.146705880972,138.564784938117
147.063997567136,152.550403757081
162.773315890741,172.927311279645
150.747156736551,148.450994607545
153.764591532554,146.441932468264
157.243912799732,146.481475297531
136.448457968548,144.664758108644
158.91724108048,156.01006337014
140.100889544596,148.911880641022
156.318911003746,155.153052699898
156.112218768954,144.414561457117
153.074578456905,162.278063445397
144.294638850176,160.168885507026
148.962011586343,165.137771965428
157.398589408922,155.749716845132
148.561154270756,152.368264097283
158.975521220293,138.292357140111
160.377770077607,154.45248614833
165.087446506518,135.397943339857
145.850319245626,159.337829383798
170.66906804589,156.51361435618
158.005317564645,172.396251782418
149.364671106434,144.076116902276
150.554715681979,131.59376884998
169.275899872376,157.212053747542
156.576952219703,155.375868354663
154.348907029284,161.584361478629
157.084770819571,141.645271597661
136.559800944714,146.078469502326
135.385291840113,161.356333063781
149.253388480652,157.978467859551
155.520802234417,153.190989878869
161.703253726222,158.515921817145
166.256234345463,142.300187403896
168.32791901481,157.299595417671
149.703794755598,156.269016786415
159.911219013138,159.083598106532
146.748450934651,147.440936001373
159.558351290501,152.104437155741
141.84464508973,155.761397615707
143.303386279989,158.119942891007
143.431420443989,135.782128937102
153.770193867071,156.607411905466
152.1893150749,159.333739663343
156.107939195229,161.917931851884
154.047627888337,148.367243168434
154.02651413645,148.488588162263
